EXT1	EXT2	EXT3	EXT4	EXT5	EXT6	EXT7	EXT8	EXT9	EXT10	EST1	EST2	EST3	EST4	EST5	EST6	EST7	EST8	EST9	EST10	AGR1	AGR2	AGR3	AGR4	AGR5	AGR6	AGR7	AGR8	AGR9	AGR10	CSN1	CSN2	CSN3	CSN4	CSN5	CSN6	CSN7	CSN8	CSN9	CSN10	OPN1	OPN2	OPN3	OPN4	OPN5	OPN6	OPN7	OPN8	OPN9	OPN10	EXT1_E	EXT2_E	EXT3_E	EXT4_E	EXT5_E	EXT6_E	EXT7_E	EXT8_E	EXT9_E	EXT10_E	EST1_E	EST2_E	EST3_E	EST4_E	EST5_E	EST6_E	EST7_E	EST8_E	EST9_E	EST10_E	AGR1_E	AGR2_E	AGR3_E	AGR4_E	AGR5_E	AGR6_E	AGR7_E	AGR8_E	AGR9_E	AGR10_E	CSN1_E	CSN2_E	CSN3_E	CSN4_E	CSN5_E	CSN6_E	CSN7_E	CSN8_E	CSN9_E	CSN10_E	OPN1_E	OPN2_E	OPN3_E	OPN4_E	OPN5_E	OPN6_E	OPN7_E	OPN8_E	OPN9_E	OPN10_E	dateload	screenw	screenh	introelapse	testelapse	endelapse	IPC	country	lat_appx_lots_of_err	long_appx_lots_of_err
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2016-05-16T12:36:01Z	1920	1080	8	4	11	1	US	33.7843	-118.1157
4	4	2	3	3	3	2	1	5	1	5	2	3	5	5	5	5	5	5	5	2	2	4	2	5	3	5	5	1	5	0	5	3	5	1	5	3	3	1	1	4	2	5	3	1	3	3	1	3	2	5352	954	2337	1971	1586	3227	4963	3223	3891	2315	5425	5388	1446	4808	2423	1025	2644	2097	1321	1102	2299	2166	3236	2080	5020	2722	4292	4166	2127	3572	0	3895	3370	2555	3261	8904	1320	2703	4362	5182	3394	3908	1760	1706	2159	1344	2914	1812	4198	2439	2016-12-19T13:24:55Z	1366	768	12	153	14	1	MX	25.6667	-100.3167
3	2	2	4	2	2	2	3	0	5	5	1	5	1	4	4	3	3	4	4	3	2	2	3	4	5	4	2	4	3	1	5	3	5	1	5	2	4	2	3	3	1	5	1	5	1	5	4	0	5	8878	6783	5350	5053	3654	7040	4353	4559	0	3603	3759	5192	3663	11824	3614	6270	3887	3510	2694	2913	7657	4738	6580	4458	6379	4400	4097	4608	6711	5966	3463	5710	4616	10354	3618	5185	3957	4773	3219	5271	4758	11222	3126	4790	2969	3903	2808	4435	0	3163	2017-06-08T13:38:05Z	412	846	3	244	9	1	US	37.496	-77.4712
3	5	4	5	2	5	2	5	1	5	1	4	4	3	4	2	3	2	3	3	4	4	1	4	2	4	2	4	4	3	4	2	5	2	3	1	5	3	3	5	3	3	3	3	3	3	3	3	5	4	31978	4288	14224	6256	6458	5920	10552	12992	13648	5872	6096	3216	10774	12974	5072	28376	14608	14104	14784	23440	9744	19160	5862	8952	32014	17680	18400	15712	9464	15752	3952	11240	3368	24714	15120	9048	13360	31928	7208	7720	12824	9016	8984	21200	12352	14952	7840	8368	4712	5456	2018-03-30T01:31:59Z	1920	1080	1624	635	20	2	FR	50.7	3.2167
4	1	3	1	5	1	2	2	5	2	5	1	5	1	4	5	2	2	5	5	1	5	1	4	2	4	2	4	4	4	5	1	5	2	2	1	5	4	4	5	5	1	4	1	4	1	5	5	5	5	7964	2003	5052	3715	1986	1822	2752	2960	3294	2809	1777	1125	1447	2226	2183	1275	3344	3465	2049	2055	2888	2984	3220	4648	3139	1529	2674	2070	2462	5382	2889	1327	1980	1483	2092	1989	2093	1632	3753	1339	1472	1775	4116	4671	6137	3379	1251	1862	1802	841	2018-09-19T10:35:24Z	412	732	8	135	7	1	US	40.5465	-80.0525
3	3	3	2	4	2	4	4	2	3	4	2	4	3	2	3	3	3	3	2	1	5	1	4	1	5	1	5	5	4	5	3	5	1	4	1	5	2	5	5	4	2	4	2	4	5	4	3	5	4	3719	3219	2472	1942	3451	4453	5203	2631	1733	3173	1307	2897	1512	3082	2852	3092	2022	2314	2258	2398	3240	4048942	3286	4152	2795	1251	2205	2925	6027	5198	3578	7502	866	2912	2278	2836	1124	1178	1629	2680	3593	7024	1573	5520	4008	2271	2025	5359	1974	1428	2017-11-12T14:02:29Z	1680	1050	111	4193	10	1	US	34.5342	-82.7167
1	4	2	4	3	4	2	4	2	4	2	4	4	2	2	2	2	2	2	2	2	4	2	4	2	4	4	4	4	4	4	2	4	2	4	2	2	2	4	4	2	4	4	4	4	4	4	2	2	4	17596	2923	3021	5134	6263	4187	2337	5753	3751	4248	3269	2512	2180	2368	5481	4563	3131	3419	3803	12110	6281	5244	3352	2262	4413	2745	7013	9210	2155	2164	4470	3519	2798	3935	3052	3322	3635	13619	2329	26408	3344	3035	24891	2432	3777	2534	4202	3660	5931	2257	2016-05-25T09:11:13Z	1920	1080	4	266	17	1	US	41.0581	-74.7527
3	3	3	2	3	3	3	5	3	3	5	1	4	3	1	1	4	4	4	2	5	2	5	1	5	1	4	2	1	2	4	1	5	1	1	1	5	1	5	4	5	1	5	1	5	1	5	5	5	5	2687	4238	3242	3107	1180	2529	3242	1781	6085	3658	8764	2693	1648	2013	931	3078	4921	11174	2328	2445	2827	2196	1250	1979	2161	1677	4191	2608	2161	6517	18487	3275	2227	3027	11772	2045	1978	3027	2578	3343	2362	2643	2011	3024	1563	3091	1479	1613	3324	3490	2017-05-24T17:04:58Z	1280	800	11	178	9	1	US	34.879	-76.9013
2	4	4	4	3	2	1	4	2	4	4	2	3	3	4	3	3	3	4	2	2	4	1	4	3	4	2	3	4	4	3	3	2	1	2	2	3	2	3	2	3	1	4	1	3	2	4	3	5	3	2141	2719	1622	2922	1923	1551	2114	4209	3152	1530	1681	4855	2477	3775	4167	1822	4936	1078	1642	1248	4574	1278	2810	1086	2780	2729	1933	2114	855	1874	2740	1259	4379	2971	1863	3082	1268	1590	4206	2588	2691	2375	1309	2961	2558	1147	3723	3998	3020	976	2016-05-26T18:19:28Z	1366	768	6	126	12	1	CA	43.7023	-79.7909
4	2	4	1	4	1	4	3	4	2	3	3	3	3	2	3	2	2	2	3	1	4	1	5	2	4	1	4	4	4	4	2	5	1	4	1	5	2	3	2	3	2	4	2	4	1	4	3	4	4	6356	2446	2668	3211	2372	3497	7854	3092	6903	4135	2000	25140	4630	5147	1584	1445	2887	2842	4269	2598	1181	3567	2130	1470	11396	2084	2290	5130	3889	6339	4097	3821	2032	2136	9078	3109	1456	13537	1669	18638	4006	3894	2793	14007	1521	2533	2524	2063	2255	3592	2017-02-07T01:29:17Z	1440	900	3	234	7	1	AU	-37.8139	144.9634
4	1	4	1	5	1	5	1	4	2	4	2	4	3	4	4	4	4	4	3	1	5	2	5	1	5	1	5	4	4	5	1	5	1	5	1	5	3	5	4	3	2	4	2	4	2	4	2	5	4	6527	3960	1712	2584	1860	2177	1818	4317	2187	2485	2227	2294	1366	4260	2555	2120	2827	3011	1720	4002	4157	906	6064	2219	2026	1910	2068	2868	3577	2183	2960	3863	6271	2683	2238	3065	1717	4540	2245	2815	2726	3704	2060	2927	1142	3335	1902	2559	3872	1712	2018-05-28T11:13:09Z	375	812	16	144	11	1	AE	24.4667	54.3667
4	1	4	2	1	1	5	2	4	2	4	4	5	2	3	5	2	3	4	3	5	5	2	5	1	5	1	5	5	4	2	3	4	3	3	3	5	3	3	4	3	2	5	0	4	1	3	2	5	5	10939	4103	7263	10606	7001	2898	2955	11551	3217	7115	5701	5901	4632	5284	6069	8170	2715	11820	3399	5032	3342	4300	8491	3001	6651	3211	2777	4119	2557	3767	5143	3297	4624	965	4717	7039	4720	1797	776	3751	4015	4632	1005	0	2050	3533	8783	966	5836	2452	2017-02-06T09:17:54Z	375	667	4	240	11	29	US	40.749	-73.9865
3	1	5	2	3	1	3	3	5	2	5	1	5	1	4	4	4	2	5	5	1	5	2	5	1	5	1	5	5	5	2	3	4	2	1	2	5	5	5	1	5	5	2	5	2	2	1	5	4	1	2678	3398	1203	2701	3572	3905	3631	2076	1364	5974	3310	2121	1291	2349	3006	6486	3351	2301	577	1563	4029	2276	4304	2974	2629	2413	4778	2666	1323	1146	1851	2982	4289	2525	2365	5696	1412	3143	2718	5076	922	3935	2148	3022	1956	2093	4033	2213	3881	2105	2017-10-31T15:10:02Z	1440	900	8	146	8	30	US	38.0	-97.0
3	1	5	1	5	1	4	1	5	1	4	4	5	4	3	2	4	3	1	3	1	5	2	5	1	5	1	5	5	5	3	4	4	3	2	2	2	3	3	5	3	2	4	4	4	5	4	4	4	5	7297	2131	2957	540	2747	2962	2957	1121	4094	5838	2071	2323	2611	21757	15520	1945	2044	2224	3079	7023	10535	3204	2803	6131	2668	1776	7537	8207	2291	1393	2614	4808	3554	2645	3149	3902	1621	3590	1831	8018	2755	3592	1927	3324	1717	8468	6068	2672	2257	1162	2018-10-02T13:01:48Z	1280	720	6	214	13	6	CA	49.136	-123.9483
1	4	2	5	2	3	1	5	2	5	4	1	4	1	5	3	4	4	4	4	3	2	1	4	4	4	4	4	3	3	4	2	5	1	4	2	5	3	3	4	4	1	4	1	4	2	5	4	5	4	7292	4295	4569	2830	2129	2084	3240	2648	2763	2147	1745	3611	2584	2942	3114	2365	3222	1151	2084	2999	4939	1477	2387	3083	3588	2561	3628	9796	3913	3358	2420	8084	1555	4067	1867	3540	1528	3813	1603	3297	3855	1700	2410	2594	4801	2472	3107	1718	4935	5646	2018-05-22T05:41:52Z	1920	1200	11	194	46	1	SE	59.3294	18.0686
4	2	5	1	4	2	4	1	4	1	2	2	5	2	2	3	3	3	2	4	1	5	1	5	1	5	1	4	5	5	3	5	4	5	1	4	1	2	2	2	5	1	5	1	3	1	5	5	5	4	6170	9299	3490	3765	12148	5735	8472	70607	5468	5742	5494	11629	4085	12529	1062	4827	5241	3185	5699	7410	3877	4287	4989	3562	2813	8900	4270	6736	10915	4651	14137	6528	8224	3235	6369	6026	2429	3301	3337	10309	5801	4530	3291	4330	8976	3689	5487	4335	7762	9307	2018-03-24T05:25:17Z	360	640	9	393	11	1	US	43.1144	-89.6557
3	4	3	4	4	3	5	4	4	4	5	4	5	2	3	2	4	2	2	1	4	4	4	4	4	4	4	3	3	4	3	1	5	2	3	1	5	3	3	4	5	3	4	2	5	1	4	4	5	4	14467	3250	3888	1976	2174	5152	4046	9071	2662	2810	3680	8244	3338	4454	5804	7450	3152	2472	7388	7125	1508	1656	2296	5806	9758	2666	3014	4762	5262	2343	4256	5199	2224	2517	1903	3286	4454	19300	6752	28756	2216	3872	900	5186	3270	5525	4940	3178	2488	1539	2016-05-13T07:48:35Z	1280	800	8	255	14	1	GB	55.9101	-3.26
2	4	3	2	3	3	2	4	2	4	4	1	5	2	3	4	2	3	3	2	1	4	1	5	3	5	2	4	4	3	4	2	4	3	3	3	5	1	4	3	3	3	4	3	5	2	4	2	5	5	4995	1778	2770	2426	2394	3504	9186	4177	4419	4628	2298	2910	1514	2841	3496	2961	2412	2318	1594	2681	3308	2824	4113	2996	4658	2138	4856	3474	3283	2423	2940	1926	1981	2090	2416	6738	2324	3850	2000	4914	5528	3664	2522	3758	2516	5933	2189	2093	3008	3786	2016-04-12T08:58:54Z	1280	800	14	167	15	1	AE	24.0	54.0
2	2	5	2	4	1	3	5	1	5	4	3	5	2	2	4	3	3	4	3	1	4	1	5	1	4	1	4	5	5	4	3	5	1	5	1	5	1	5	4	3	4	4	1	5	1	5	1	5	5	7334	4307	5899	9558	5055	16512	5977	3941	2980	2923	4721	6962	3105	9406	6710	4032	6378	3555	2991	5160	4180	4042	5002	2481	1080	1860	3899	3645	2871	3279	99298	6846	4099	3493	6766	4042	2767	20174	2568	5727	4250	5372	3981	4138	4509	6683	5052	5697	4512	1917	2017-07-23T16:30:28Z	360	640	5	353	13	1	US	41.6389	-87.6073
3	1	4	3	4	2	4	4	4	4	3	3	4	2	2	3	3	3	2	3	2	4	3	4	2	3	2	4	3	3	4	2	2	3	2	2	5	2	4	4	5	4	5	3	5	1	4	4	4	4	10023	6235	3375	3092	3758	2877	4623	6152	4821	3393	3241	3359	5901	10941	6484	5138	2477	3092	1980	3508	6069	23910	3192	4821	4789	2925	7616	4340	2310	3108	6700	5089	2894	4174	4522	4373	3042	3559	3009	3541	4107	9842	3127	4423	3459	7050	4073	3193	6568	2428	2016-10-08T02:42:27Z	1280	800	15	251	23	1	AU	-37.8139	144.9634
2	1	4	4	5	1	5	1	1	4	4	3	5	1	5	3	3	1	2	4	1	5	3	5	2	5	2	5	5	1	1	5	3	5	2	4	2	3	1	5	5	1	5	1	5	1	4	5	5	5	11055	7608	3809	6184	1622	2932	4561	1551	5009	8687	9231	4484	2939	2520	2841	1589	3261	2647	5585	4410	9140	1328	7735	3984	5855	1468	4715	4866	1943	6273	8219	3149	5036	1125	4400	6445	2574	6164	4601	1783	2721	3133	1075	2974	1027	3392	2940	1499	1698	953	2017-12-20T23:49:35Z	414	736	27	209	11	1	CA	45.3155	-75.837
1	4	2	4	1	3	1	5	1	5	2	4	3	5	2	1	3	1	1	1	2	2	3	2	3	3	3	3	1	3	3	1	3	1	2	1	4	2	2	3	3	4	3	1	4	1	4	3	4	4	4005	2406	3319	4214	1917	4933	2365	5498	4741	2296	2529	8953	2015	13262	1577	3386	4116	3883	1441	1489	5711	2608	2150	3132	4953	2677	4195	3133	3056	5256	2774	3259	9031	4447	3289	3396	4215	12108	3183	8565	2140	2841	1888	3591	2355	3980	3417	2423	2852	2891	2018-10-20T02:43:33Z	1366	768	39	201	21	3	IN	15.8333	78.05
3	2	3	3	4	1	3	3	3	2	4	3	3	3	4	1	2	1	2	1	2	5	3	4	1	2	1	4	4	5	5	1	5	1	3	2	5	1	5	5	5	1	5	1	5	1	5	4	5	5	5526	2474	6346	2360	2202	1410	4448	1500	3895	1808	1918	4723	1476	1898	2742	2103	2321	733	5213	1547	3546	3220	1089	2001	2420	4688	1227	2648	1741	2726	2719	3556	2412	2297	11088	8596	1500	4093	2123	1548	1610	1346	3027	1397	1523	1294	1898	2487	2514	1353	2017-09-04T12:26:07Z	1280	800	14	142	8	1	GB	51.5	-0.13
3	1	2	5	5	4	1	5	5	5	3	1	5	5	3	0	5	3	5	5	5	4	1	5	5	5	5	5	5	1	1	1	4	5	1	5	5	1	1	5	1	1	5	5	5	0	5	1	1	5	13492	4455	5195	7501	7747	10617	4438	14345	5498	6710	8609	43451	6454	5893	1580	0	14098	5262	4566	6986	10658	6798	7739	7209	7806	5914	8015	6783	31902	5270	6211	8287	5131	6177	7156	467	4761	7254	9532	5488	8796	8526	7319	6084	8892	0	1226	5100	4540	5346	2017-12-30T07:25:18Z	360	640	301	397	22	1	PK	33.69	73.0551
2	4	2	4	2	4	2	4	2	4	3	4	4	4	2	2	2	2	2	2	2	2	2	4	4	4	4	2	2	3	3	3	4	4	2	2	3	2	4	2	3	3	4	3	3	2	4	3	4	4	5403	1716	2167	1013	2548	1867	1024	3135	3059	1097	4974	2581	950	7034	1878	4072	4512	1066	1747	1014	3554	2590	2041	4507	3344	3312	1676	6918	6882	3487	2370	4874	2270	1396	2434	2539	1892	5121	3036	2752	2729	7138	1177	3031	3853	1988	4694	1505	2174	6819	2016-08-14T10:56:29Z	1366	768	31	158	13	1	PK	30.0	70.0
4	1	1	2	5	1	3	3	4	1	3	1	5	4	3	4	5	3	3	3	4	4	1	4	1	4	1	5	5	5	4	5	4	5	5	5	3	3	5	4	2	3	3	2	4	1	3	2	5	2	509	18384	2236	3883	2894	2021	2826	4194	2950	3451	29516	3623	4733	2074	3779	36310	3386	1676	2416	3370	5331	7528	3493	4186	2666	2599	16948	2930	2409	3060	3991	44514	2983	5147	5674	14249	1633	2157	1870	2593	3713	6305	2578	8497	3394	2467	8564	2456	2432	2245	2018-01-26T16:29:28Z	1920	1080	2	315	7	1	GB	51.5167	-1.7833
3	2	5	2	4	1	4	3	3	3	5	2	5	2	3	4	5	4	4	4	1	5	2	5	1	5	2	5	5	4	4	4	4	4	1	4	3	2	3	3	5	2	5	2	4	1	4	4	4	5	13859	1825	1938	3468	2194	1768	2488	1972	1170	1819	1836	1538	2177	2114	2148	3085	1771	2547	1485	2201	5699	1777	2804	1082	1908	12796	1763	3019	1554	2202	4679	4051	3807	1884	4117	7885	1622	7862	2209	10597	1167	2745	2889	1736	1869	12647	2189	2737	2732	1001	2018-09-18T12:25:19Z	375	667	3	171	6	2	US	39.9881	-83.0444
5	3	5	5	5	3	3	3	3	1	4	3	5	0	3	3	3	3	3	3	5	5	1	5	3	3	3	3	3	5	3	1	5	3	3	3	3	3	3	3	3	1	5	1	3	3	3	3	3	5	9986	2607	13271	4111	4043	599	585	1737	1922	2961	5582	4145	1954	0	769	2725	1085	886	1920	3962	5613	2891	23279	2372	2155	668	853	669	1135	4828	3441	11282	2841	3326	734	636	2991	2106	2092	7938	4980	6917	2993	4043	1825	1568	938	954	5146	5817	2018-10-10T03:03:15Z	1440	900	6	185	20	1	AE	24.0	54.0
4	3	5	1	4	1	3	1	5	2	2	4	1	5	2	2	2	2	1	1	5	5	3	4	5	2	2	2	5	4	3	5	5	3	3	4	5	2	2	3	3	2	5	1	4	1	5	4	3	5	5520	5083	12196	5417	1642	15188	6309	44674	4247	3331	26971	6232	2928	31531	16955	7809	10320	5744	5276	1543	7187	650	22332	4339	5627	4666	10872	9833	5664	14061	3819	3177	3878	8506	27000	6678	14446	21924	5348	41778	4357	15294	38759	6604	7058	4671	1211	12268	10864	10263	2018-07-30T17:27:34Z	360	640	33	559	8	1	TR	40.1456	26.4064
2	3	5	3	3	1	3	3	4	4	1	4	4	4	1	1	1	1	1	1	2	5	1	4	1	3	1	4	5	5	5	1	5	1	5	1	4	1	5	5	4	2	4	2	4	2	4	4	5	5	2642	7217	1923	2166	20617	11235	13015	5010	1147	3264	10561	8305	6405	23987	24090	1943	4177	11585	1496	2908	4878	2243	2098	7519	3452	2788	9459	9307	2525	4623	7242	4131	5636	7102	17278	18223	5060	14133	3487	13372	3449	10387	1075	2565	3915	7623	3098	11322	3912	3360	2018-06-21T06:08:46Z	1280	720	44	369	14	1	GB	51.4048	-0.0615
2	4	4	2	5	1	2	5	4	4	1	2	2	4	4	4	4	4	4	3	5	1	5	5	0	1	5	2	3	1	5	1	5	1	1	5	2	2	5	2	5	1	5	1	5	1	5	0	3	5	12550	6464	6759	7968	13091	6096	8352	5128	10968	13625	15255	8105	6377	24680	16663	7042	9800	11856	11130	9320	11941	8232	7544	4161	0	9554	4057	13931	14170	10328	3954	6800	4887	5624	8711	12807	3823	41742	7999	19088	4384	10794	4223	11423	4368	6150	5249	0	8670	1238	2016-05-15T09:00:32Z	1366	768	16	470	20	1	RU	55.75	37.6166
