id,species,size
1,cat,big
2,cat,small
3,cat,big
4,cat,small
5,cat,small
6,cat,small
7,cat,big
8,cat,small
9,cat,big
10,cat,big
11,cat,big
12,cat,small
13,cat,small
14,cat,big
15,cat,small
16,cat,small
17,cat,small
18,cat,big
19,cat,small
20,cat,big
21,cat,small
22,cat,small
23,cat,small
24,cat,big
25,cat,big
26,dog,big
27,dog,small
28,dog,big
29,dog,big
30,dog,big
31,dog,big
32,dog,small
33,dog,big
34,dog,big
35,dog,big
36,dog,big
37,dog,small
38,dog,big
39,dog,big
40,dog,small
41,dog,big
42,dog,big
43,dog,big
44,dog,big
45,dog,small
46,dog,big
47,dog,big
48,dog,big
49,dog,small
50,dog,big
