"","x"
"1",-192
"2",701
"3",-225
"4",679
"5",432
"6",-285
"7",971
"8",705
"9",687
"10",-219
"11",613
"12",24
"13",650
"14",-5
"15",-152
"16",695
"17",-201
"18",698
"19",-3
"20",101
"21",-210
"22",480
"23",904
"24",777
"25",550
"26",-13
"27",419
"28",-241
"29",548
"30",668
"31",76
"32",337
"33",126
"34",141
"35",835
"36",283
"37",988
"38",864
"39",994
"40",10
"41",611
"42",173
"43",510
"44",-259
"45",459
"46",-276
"47",402
"48",225
"49",322
"50",-39
"51",642
"52",-2
"53",974
"54",68
"55",211
"56",457
"57",453
"58",498
"59",561
"60",473
"61",937
"62",-7
"63",306
"64",463
"65",482
"66",245
"67",125
"68",170
"69",-113
"70",-47
"71",-33
"72",339
"73",-260
"74",916
"75",523
"76",363
"77",821
"78",236
"79",47
"80",-194
"81",16
"82",737
"83",-139
"84",335
"85",405
"86",605
"87",495
"88",329
"89",760
"90",861
"91",708
"92",472
"93",-223
"94",953
"95",820
"96",182
"97",-119
"98",850
"99",691
"100",36
"101",238
"102",567
"103",-89
"104",-100
"105",-239
"106",847
"107",786
"108",260
"109",272
"110",239
"111",-299
"112",370
"113",903
"114",470
"115",440
"116",-32
"117",735
"118",404
"119",369
"120",143
"121",376
"122",960
"123",733
"124",666
"125",549
"126",-120
"127",450
"128",162
"129",304
"130",-217
"131",684
"132",163
"133",683
"134",-76
"135",825
"136",-130
"137",188
"138",621
"139",393
"140",722
"141",808
"142",-148
"143",660
"144",-61
"145",-252
"146",-145
"147",-27
"148",461
"149",-131
"150",-9
"151",-153
"152",418
"153",-112
"154",836
"155",750
"156",305
"157",344
"158",809
"159",-51
"160",-132
"161",606
"162",431
"163",249
"164",156
"165",618
"166",-186
"167",839
"168",870
"169",137
"170",324
"171",241
"172",398
"173",616
"174",665
"175",-213
"176",90
"177",97
"178",930
"179",518
"180",-264
"181",927
"182",-138
"183",-255
"184",558
"185",899
"186",75
"187",520
"188",-21
"189",633
"190",455
"191",680
"192",414
"193",-95
"194",872
"195",617
"196",383
"197",464
"198",346
"199",-142
"200",627
"201",677
"202",634
"203",352
"204",977
"205",213
"206",891
"207",86
"208",628
"209",688
"210",446
"211",326
"212",319
"213",-99
"214",-228
"215",34
"216",769
"217",-170
"218",743
"219",381
"220",682
"221",228
"222",991
"223",-28
"224",-207
"225",29
"226",632
"227",-122
"228",3
"229",629
"230",653
"231",172
"232",528
"233",425
"234",710
"235",-193
"236",358
"237",300
"238",317
"239",-198
"240",454
"241",542
"242",-104
"243",445
"244",159
"245",745
"246",-169
"247",-114
"248",-248
"249",812
"250",336
"251",536
"252",782
"253",401
"254",-214
"255",-73
"256",-298
"257",938
"258",954
"259",981
"260",-163
"261",180
"262",466
"263",814
"264",568
"265",368
"266",407
"267",604
"268",195
"269",-83
"270",31
"271",-191
"272",318
"273",426
"274",-274
"275",291
"276",623
"277",226
"278",452
"279",569
"280",-278
"281",920
"282",38
"283",477
"284",-160
"285",273
"286",911
"287",468
"288",-34
"289",64
"290",493
"291",853
"292",285
"293",-178
"294",192
"295",546
"296",901
"297",66
"298",603
"299",984
"300",409
"301",157
"302",302
"303",898
"304",203
"305",-20
"306",210
"307",235
"308",726
"309",575
"310",227
"311",761
"312",756
"313",926
"314",-77
"315",986
"316",442
"317",-106
"318",221
"319",40
"320",803
"321",765
"322",624
"323",0
"324",852
"325",74
"326",385
"327",107
"328",560
"329",697
"330",-143
"331",729
"332",640
"333",-74
"334",253
"335",690
"336",-203
"337",122
"338",519
"339",-88
"340",8
"341",968
"342",382
"343",465
"344",-275
"345",-204
"346",-184
"347",345
"348",525
"349",490
"350",637
"351",124
"352",-49
"353",881
"354",384
"355",165
"356",874
"357",-216
"358",-268
"359",840
"360",-197
"361",647
"362",824
"363",-171
"364",678
"365",-45
"366",-175
"367",246
"368",855
"369",256
"370",-157
"371",869
"372",-64
"373",-165
"374",-52
"375",804
"376",202
"377",313
"378",-199
"379",589
"380",-206
"381",636
"382",-68
"383",868
"384",78
"385",932
"386",30
"387",-140
"388",-87
"389",-30
"390",-233
"391",527
"392",314
"393",190
"394",741
"395",411
"396",-78
"397",54
"398",669
"399",871
"400",394
"401",-181
"402",387
"403",-293
"404",563
"405",-196
"406",-125
"407",286
"408",717
"409",762
"410",229
"411",570
"412",781
"413",-168
"414",242
"415",11
"416",231
"417",421
"418",592
"419",723
"420",406
"421",451
"422",-37
"423",-26
"424",-187
"425",-35
"426",-94
"427",785
"428",823
"429",819
"430",391
"431",323
"432",-269
"433",400
"434",265
"435",189
"436",117
"437",187
"438",340
"439",160
"440",218
"441",-98
"442",-290
"443",288
"444",312
"445",437
"446",-158
"447",924
"448",639
"449",184
"450",620
"451",45
"452",388
"453",111
"454",584
"455",526
"456",913
"457",778
"458",-262
"459",565
"460",-97
"461",-79
"462",572
"463",359
"464",959
"465",219
"466",-25
"467",367
"468",65
"469",656
"470",395
"471",257
"472",622
"473",956
"474",-117
"475",309
"476",17
"477",-232
"478",934
"479",573
"480",-42
"481",77
"482",-283
"483",-59
"484",-123
"485",91
"486",790
"487",564
"488",830
"489",888
"490",373
"491",147
"492",-24
"493",-121
"494",-218
"495",751
"496",205
"497",791
"498",293
"499",-261
"500",491
