resp,group,rt,visual_setsize,memory_setsize
1,base,0.9926521104347826,4,1
1,base,1.0075433927826085,8,1
1,base,1.1198260317826088,12,1
1,base,1.0244347271521739,16,1
1,base,0.7920929609302326,4,2
1,base,1.0850887988000002,8,2
1,base,1.1732499382500001,12,2
1,base,1.2301999303999998,16,2
1,base,0.9463110394222225,4,3
1,base,1.271412984152174,8,3
1,base,1.2035651207173912,12,3
1,base,1.4462443563555556,16,3
1,base,0.7984443558444444,4,4
1,base,1.003377739577778,8,4
1,base,1.0961303607391306,12,4
1,base,1.2742221673111112,16,4
2,base,0.9926521104347826,4,1
2,base,0.9752221372222221,8,1
2,base,1.1198260317826088,12,1
2,base,1.0244347271521739,16,1
2,base,1.3765428271142857,4,2
2,base,1.6579999062222224,8,2
2,base,0.8807221452777778,12,2
2,base,0.9440277484166667,16,2
2,base,1.299999947088889,4,3
2,base,1.7846521087608704,8,3
2,base,2.260404700404762,12,3
2,base,2.387652106934783,16,3
2,base,1.0996817568181818,4,4
2,base,1.5761135654318181,8,4
2,base,1.78397719425,12,4
2,base,2.2546221627333334,16,4
3,base,3.0249475428947368,4,1
3,base,1.4933057295277776,8,1
3,base,1.3090279235555558,12,1
3,base,1.2396390305555558,16,1
3,base,1.4098001532000002,4,2
3,base,1.6894349429999997,8,2
3,base,1.7432047182727275,12,2
3,base,1.826386511318182,16,2
3,base,1.4554784349565215,4,3
3,base,1.7246668497777775,8,3
3,base,1.7750668314222227,12,3
3,base,2.0722728914090913,16,3
3,base,1.3706306167391302,4,4
3,base,1.752130601739131,8,4
3,base,2.027111281288889,12,4
3,base,2.2780446052444443,16,4
4,base,0.7906110418888891,4,1
4,base,0.8171713556857144,8,1
4,base,0.7755427769142857,12,1
4,base,0.8382221526666669,16,1
4,base,1.2067555109333332,4,2
4,base,1.6613042614782605,8,2
4,base,1.7295651487608694,12,2
4,base,2.287088833888889,16,2
4,base,2.5947390536304344,4,3
4,base,1.5270216930869571,8,3
4,base,1.8672173282608693,12,3
4,base,2.138021676456522,16,3
4,base,1.1717825298260869,4,4
4,base,1.8111303526956515,8,4
4,base,2.1696955536521743,12,4
4,base,2.2943776925555555,16,4
5,base,0.740388830388889,4,1
5,base,0.6365141868571429,8,1
5,base,0.6343142032571428,12,1
5,base,0.6277221573888891,16,1
5,base,0.8959554725333335,4,2
5,base,1.0120216712173913,8,2
5,base,1.232113599727273,12,2
5,base,1.3950651520652178,16,2
5,base,0.9558221446444443,4,3
5,base,1.0378260145869564,8,3
5,base,1.2916738572826088,12,3
5,base,1.3170434132826085,16,3
5,base,0.7744564544347826,4,4
5,base,0.9745433901521742,8,4
5,base,1.1671554671333335,12,4
5,base,1.375069706976744,16,4
6,base,0.9892501830833335,4,1
6,base,0.7935430458285716,8,1
